Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides QC_Shew_16_01	Razor + unique peptides QC_Shew_16_01	Unique peptides QC_Shew_16_01	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Sequence coverage QC_Shew_16_01 [%]	Intensity	Intensity QC_Shew_16_01	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
SO_1111	SO_1111	2	2	2	SO_1111	1	2	2	2	2	2	2	10.2	10.2	10.2	18.385	157	157	0	14.116	10.2	7656800	7656800	32				201	358;755	True;True	376;791	573;1208;1209;1210;1211;1212;1213;1214;1215;1216;1217;1218;1219	1111;1112;1113;2197;2198;2199;2200;2201;2202;2203;2204;2205;2206;2207;2208;2209;2210;2211;2212;2213;2214;2215;2216;2217;2218;2219;2220;2221;2222;2223;2224;2225	1111;2198			-1
SO_1112	SO_1112	2	2	2	SO_1112	1	2	2	2	2	2	2	14.8	14.8	14.8	17.974	155	155	0	22.511	14.8	939770	939770	2				202	421;835	True;True	441;873	706;1329	1333;2387	1333;2387			-1
SO_1117	SO_1117	2	2	2	SO_1117	1	2	2	2	2	2	2	4.3	4.3	4.3	54.653	517	517	0	15.311	4.3	2140200	2140200	5				203	272;806	True;True	281;844	392;393;1291;1292	717;718;2331;2332;2333	718;2333			-1
SO_1126	SO_1126	6	6	6	SO_1126	1	6	6	6	6	6	6	10	10	10	68.861	639	639	0	49.924	10	16958000	16958000	7				204	613;720;907;933;1009;1051	True;True;True;True;True;True	644;755;950;976;1054;1101	1014;1159;1460;1496;1608;1691	1856;1857;2130;2780;2842;3037;3159	1857;2130;2780;2842;3037;3159			-1
SO_1139	SO_1139	3	3	3	SO_1139	1	3	3	3	3	3	3	28.3	28.3	28.3	21.868	205	205	0	30.672	28.3	10484000	10484000	16				205	322;820;1187	True;True;True	338;858;1244	479;1309;1310;1311;1312;1883	874;2355;2356;2357;2358;2359;2360;2361;2362;2363;2364;2365;2366;3483;3484;3485	874;2360;3483			-1
SO_1140	SO_1140	1	1	1	SO_1140	1	1	1	1	1	1	1	8.1	8.1	8.1	29.38	270	270	0	9.534	8.1	1112400	1112400	1				206	3	True	3	3	4	4			-1
SO_1142	SO_1142	1	1	1	SO_1142	1	1	1	1	1	1	1	1.5	1.5	1.5	117.98	1074	1074	0	6.7947	1.5	1939600	1939600	1				207	423	True	443	708	1335	1335			-1
SO_1148	SO_1148	1	1	1	SO_1148	1	1	1	1	1	1	1	2.4	2.4	2.4	42.197	377	377	0	6.3921	2.4	584100	584100	2				208	9	True	9	9;10	12;13	12			-1
SO_1150	SO_1150	2	2	2	SO_1150	1	2	2	2	2	2	2	16.4	16.4	16.4	23.312	219	219	0	15.993	16.4	4422000	4422000	4				209	487;1393	True;True	513;1454	815;816;2199	1511;1512;1513;4023	1511;4023			-1
SO_1160	SO_1160	1	1	1	SO_1160	1	1	1	1	1	1	1	4.3	4.3	4.3	17.81	162	162	0	6.1826	4.3	327160	327160	1				210	1158	True	1213	1832	3381	3381			-1
SO_1161	SO_1161	1	1	1	SO_1161	1	1	1	1	1	1	1	2.8	2.8	2.8	36.464	321	321	0	6.4707	2.8	2382000	2382000	3				211	1272	True	1330	2012;2013	3708;3709;3710	3710			-1
SO_1162	SO_1162	3	3	3	SO_1162	1	3	3	3	3	3	3	13.8	13.8	13.8	24.172	217	217	0	22.508	13.8	2761500	2761500	2				212	265;266;641	True;True;True	274;275;674	381;382;1052	694;695;1938	694;695;1938			-1
SO_1164	SO_1164	1	1	1	SO_1164	1	1	1	1	1	1	1	2	2	2	43.24	391	391	0	5.918	2	1149000	1149000	1				213	563	True	590	932	1709	1709			-1
SO_1172	SO_1172	1	1	1	SO_1172	1	1	1	1	1	1	1	2.9	2.9	2.9	38.976	343	343	0	6.7602	2.9	346350	346350	1				214	603	True	632	987	1809	1809			-1
SO_1174	SO_1174	1	1	1	SO_1174	1	1	1	1	1	1	1	0.9	0.9	0.9	96.826	859	859	0	7.7642	0.9	16307000	16307000	3				215	654	True	687	1073	2004;2005;2006	2004			-1
SO_1175	SO_1175	1	1	1	SO_1175	1	1	1	1	1	1	1	9.6	9.6	9.6	18.972	166	166	0	39.313	9.6	8493600	8493600	2				216	1143	True	1198	1814;1815	3354;3355	3354			-1
SO_1178	SO_1178	1	1	1	SO_1178	1	1	1	1	1	1	1	3.4	3.4	3.4	33.113	291	291	0	8.4717	3.4	1185500	1185500	1				217	648	True	681	1065	1982	1982			-1
SO_1198	SO_1198	2	2	2	SO_1198	1	2	2	2	2	2	2	5.4	5.4	5.4	29.948	277	277	0	19.065	5.4	1319900	1319900	5				218	625;626	True;True	657;658;659	1031;1032;1033;1034	1898;1899;1900;1901;1902	1898;1901	22	224	-1
SO_1199	SO_1199	1	1	1	SO_1199	1	1	1	1	1	1	1	5.4	5.4	5.4	47.583	445	445	0	11.181	5.4	590670	590670	2				219	1056	True	1106	1703	3183;3184	3183			-1
SO_1200	SO_1200	2	2	2	SO_1200	1	2	2	2	2	2	2	7.3	7.3	7.3	28.073	260	260	0	11.125	7.3	1297300	1297300	1				220	1047;1394	True;True	1097;1455	1686;2200	3148;4024	3148;4024			-1
SO_1202	SO_1202	2	2	2	SO_1202	1	2	2	2	2	2	2	5.3	5.3	5.3	16.409	151	151	0	13.047	5.3	3362600	3362600	1				221	529;530	True;True	556;557	883;884	1625;1626	1625;1626			-1
SO_1207	SO_1207	4	4	4	SO_1207	1	4	4	4	4	4	4	47.2	47.2	47.2	10.216	89	89	0	31.325	47.2	32880000	32880000	8				222	248;442;559;738	True;True;True;True	257;465;586;773	358;743;927;1184	640;641;1392;1701;1702;1703;2163;2164	641;1392;1701;2163			-1
SO_1209	SO_1209	7	7	7	SO_1209	1	7	7	7	7	7	7	11.4	11.4	11.4	75.537	699	699	0	61.054	11.4	38878000	38878000	31				223	81;212;463;716;925;1184;1255	True;True;True;True;True;True;True	83;219;220;488;751;968;1241;1312	112;307;308;309;776;777;1155;1488;1879;1880;1989	187;545;546;547;548;549;550;551;552;553;554;555;556;557;558;559;560;561;562;563;564;565;1433;1434;2126;2832;3468;3469;3470;3471;3472;3672	187;555;1433;2126;2832;3469;3672	23	376	-1
SO_1210	SO_1210	1	1	1	SO_1210	1	1	1	1	1	1	1	3.3	3.3	3.3	33.937	300	300	0	8.0985	3.3	332490	332490	1				224	87	True	90	119	202	202			-1
SO_1211	SO_1211	1	1	1	SO_1211	1	1	1	1	1	1	1	2.9	2.9	2.9	59.428	526	526	0	5.8428	2.9	253720	253720	1				225	778	True	815	1256	2275	2275			-1
SO_1215	SO_1215	1	1	1	SO_1215	1	1	1	1	1	1	1	3.9	3.9	3.9	31.449	283	283	0	5.9956	3.9	457680	457680	1				226	254	True	263	365	650	650			-1
SO_1217	SO_1217	2	2	2	SO_1217	1	2	2	2	2	2	2	12.1	12.1	12.1	27.445	256	256	0	22.292	12.1	35594000	35594000	11				227	174;1248	True;True	179;1305	247;248;1970;1971	391;392;393;394;395;396;397;398;3642;3643;3644	395;3644			-1
SO_1219	SO_1219	2	2	2	SO_1219	1	2	2	2	2	2	2	6.7	6.7	6.7	43.507	404	404	0	14.312	6.7	10744000	10744000	2				228	532;1041	True;True	559;1089	893;894;1675	1653;1654;3130	1654;3130			-1
SO_1221	SO_1221	1	1	1	SO_1221	1	1	1	1	1	1	1	9.7	9.7	9.7	25.602	236	236	0	6.542	9.7	332230	332230	1				229	203	True	210	298	536	536			-1
SO_1254	SO_1254	1	1	1	SO_1254	1	1	1	1	1	1	1	2.9	2.9	2.9	30.944	279	279	0	6.3018	2.9	952860	952860	1				230	589	True	617	967	1781	1781			-1
SO_1258	SO_1258	2	2	2	SO_1258	1	2	2	2	2	2	2	4.1	4.1	4.1	45.625	418	418	0	13.162	4.1	588360	588360	1				231	465;524	True;True	490;550	780;876	1442;1613	1442;1613			-1
SO_1261	SO_1261	1	1	1	SO_1261	1	1	1	1	1	1	1	7	7	7	31.562	285	285	0	14.26	7	1131700	1131700	2				232	1102	True	1156	1764;1765	3274;3275	3275			-1
SO_1270	SO_1270	1	1	1	SO_1270	1	1	1	1	1	1	1	1.9	1.9	1.9	40.745	367	367	0	7.5417	1.9	18008000	18008000	2				233	1117	True	1171	1783	3310;3311	3310			-1
SO_1275	SO_1275	2	2	2	SO_1275	1	2	2	2	2	2	2	6.4	6.4	6.4	51.272	482	482	0	12.456	6.4	828070	828070	2				234	521;956	True;True	547;999	873;1534	1607;2896	1607;2896			-1
SO_1288	SO_1288	1	1	1	SO_1288	1	1	1	1	1	1	1	16.9	16.9	16.9	8.3448	71	71	0	5.9407	16.9	711460	711460	1				235	107	True	110	149	253	253			-1
SO_1295	SO_1295	1	1	1	SO_1295	1	1	1	1	1	1	1	13.6	13.6	13.6	9.1834	88	88	0	7.2161	13.6	496740	496740	1				236	979	True	1023	1562	2949	2949			-1
SO_1300	SO_1300	2	2	2	SO_1300	1	2	2	2	2	2	2	7.4	7.4	7.4	46.132	430	430	0	20.875	7.4	3648400	3648400	8				237	128;633	True;True	132;666	176;177;1043;1044	284;285;286;1920;1921;1922;1923;1924	286;1923			-1
SO_1315	SO_1315	5	5	5	SO_1315	1	5	5	5	5	5	5	25.6	25.6	25.6	44.027	398	398	0	34.569	25.6	4525400	4525400	13				238	189;911;1214;1358;1360	True;True;True;True;True	196;954;1271;1418;1420	282;1466;1467;1917;2155;2157	506;507;508;509;510;2792;2793;2794;3543;3962;3963;3965;3966	507;2793;3543;3963;3965			-1
SO_1325	SO_1325	4	4	4	SO_1325	1	4	4	4	4	4	4	3.8	3.8	3.8	163.01	1482	1482	0	40.241	3.8	5344300	5344300	4				239	876;880;1081;1092	True;True;True;True	919;923;1133;1144	1408;1413;1734;1746	2663;2669;3233;3247	2663;2669;3233;3247			-1
SO_1327	SO_1327	3	3	3	SO_1327	1	3	3	3	3	3	3	26.4	26.4	26.4	13.246	121	121	0	22.159	26.4	3118400	3118400	5				240	201;243;364	True;True;True	208;251;382	295;296;350;584	532;533;534;630;1129	533;630;1129			-1
SO_1328	SO_1328	1	1	1	SO_1328	1	1	1	1	1	1	1	6.2	6.2	6.2	33.793	304	304	0	13.332	6.2	2058000	2058000	1				241	1294	True	1353	2047	3773	3773			-1
SO_1344	SO_1344	1	1	1	SO_1344	1	1	1	1	1	1	1	3.2	3.2	3.2	35.022	310	310	0	7.2925	3.2	8943100	8943100	3				242	398	True	418	629;630	1225;1226;1227	1227			-1
SO_1349	SO_1349	2	2	2	SO_1349	1	2	2	2	2	2	2	9.7	9.7	9.7	38.099	339	339	0	13.039	9.7	777140	777140	2				243	640;1010	True;True	673;1055	1051;1609	1937;3038	1937;3038			-1
SO_1353	SO_1353	1	1	1	SO_1353	1	1	1	1	1	1	1	4	4	4	19.675	175	175	0	5.9571	4	200490	200490	1				244	1155	True	1210	1829	3377	3377			-1
SO_1357	SO_1357	2	2	2	SO_1357	1	2	2	2	2	2	2	26.8	26.8	26.8	9.1084	82	82	0	15.143	26.8	350980	350980	3				245	618;1247	True;True	649;1304	1019;1969	1866;1867;3641	1866;3641			-1
SO_1360	SO_1360	3	3	3	SO_1360	1	3	3	3	3	3	3	21.4	21.4	21.4	13.292	117	117	0	24.973	21.4	55499000	55499000	15				246	18;19;305	True;True;True	18;19;320	27;28;455;456	50;51;52;822;823;824;825;826;827;828;829;830;831;832;833;834	51;52;833			-1
SO_1361	SO_1361	1	1	1	SO_1361	1	1	1	1	1	1	1	2.5	2.5	2.5	39.874	363	363	0	8.2297	2.5	2082900	2082900	4				247	637	True	670	1048	1928;1929;1930;1931	1930			-1
SO_1362	SO_1362	1	1	1	SO_1362	1	1	1	1	1	1	1	3.4	3.4	3.4	42.875	379	379	0	11.557	3.4	454620	454620	4				248	617	True	648	1018	1862;1863;1864;1865	1865			-1
SO_1367	SO_1367	2	2	2	SO_1367	1	2	2	2	2	2	2	4.5	4.5	4.5	74.089	671	671	0	17.855	4.5	2695700	2695700	2				249	32;955	True;True	32;998	44;1533	80;2895	80;2895			-1
SO_1368	SO_1368	4	4	4	SO_1368	1	4	4	4	4	4	4	13.9	13.9	13.9	54.722	502	502	0	35.504	13.9	10574000	10574000	7				250	252;335;582;787	True;True;True;True	261;351;609;824	362;513;955;956;1269	647;978;979;980;1758;1759;2301	647;978;1759;2301			-1
SO_1372	SO_1372	1	1	1	SO_1372	1	1	1	1	1	1	1	11.8	11.8	11.8	9.797	85	85	0	8.227	11.8	1544700	1544700	2				251	177	True	182	252	403;404	403			-1
SO_1375	SO_1375	1	1	1	SO_1375	1	1	1	1	1	1	1	2.6	2.6	2.6	55.851	497	497	0	11.474	2.6	382740	382740	1				252	594	True	623	976	1794	1794			-1
SO_1378	SO_1378	1	1	1	SO_1378	1	1	1	1	1	1	1	10.2	10.2	10.2	19.717	186	186	0	8.5047	10.2	1786400	1786400	2				253	809	True	847	1296	2338;2339	2338			-1
SO_1382	SO_1382	1	1	1	SO_1382	1	1	1	1	1	1	1	2.6	2.6	2.6	34.833	308	308	0	6.368	2.6	335300	335300	1				254	302	True	317	451	815	815			-1
SO_1434	SO_1434	1	1	1	SO_1434	1	1	1	1	1	1	1	1.8	1.8	1.8	59.346	543	543	0	6.7008	1.8	189040	189040	1				255	166	True	170	236	371	371			-1
SO_1441	SO_1441	1	1	1	SO_1441	1	1	1	1	1	1	1	4.2	4.2	4.2	41.969	358	358	0	17.087	4.2	519610	519610	1				256	309	True	324	461	842	842			-1
SO_1460	SO_1460	2	2	2	SO_1460	1	2	2	2	2	2	2	8.3	8.3	8.3	52.111	469	469	0	22.199	8.3	910070	910070	5				257	494;1367	True;True	520;1428	830;2167	1540;1541;1542;3978;3979	1540;3979			-1
SO_1473	SO_1473	1	1	1	SO_1473	1	1	1	1	1	1	1	5.5	5.5	5.5	18.701	163	163	0	6.7392	5.5	1445400	1445400	1				258	488	True	514	817	1514	1514			-1
SO_1474	SO_1474	1	1	1	SO_1474	1	1	1	1	1	1	1	4.8	4.8	4.8	16.39	145	145	0	5.8775	4.8	1054800	1054800	1				259	378	True	396	604	1187	1187			-1
SO_1483	SO_1483	3	3	3	SO_1483	1	3	3	3	3	3	3	4.2	4.2	4.2	61.68	549	549	0	40.346	4.2	5147800	5147800	5				260	111;591;867	True;True;True	114;620;910	154;972;973;1398	259;1789;1790;1791;2649	259;1791;2649			-1
SO_1484	SO_1484	1	1	1	SO_1484	1	1	1	1	1	1	1	4.5	4.5	4.5	48.271	440	440	0	6.7821	4.5	0	0	1				261	537	True	564	900	1666	1666			-1
SO_1489	SO_1489	1	1	1	SO_1489	1	1	1	1	1	1	1	9.8	9.8	9.8	14.374	123	123	0	8.5442	9.8	826420	826420	1				262	1165	True	1220	1849	3418	3418			-1
SO_1490	SO_1490	2	2	2	SO_1490	1	2	2	2	2	2	2	10.7	10.7	10.7	40.013	382	382	0	42.234	10.7	6662200	6662200	4				263	1151;1200	True;True	1206;1257	1825;1897;1898	3372;3508;3509;3510	3372;3509			-1
SO_1498	SO_1498	2	2	2	SO_1498	1	2	2	2	2	2	2	4.5	4.5	4.5	47.284	420	420	0	14.706	4.5	1324500	1324500	2				264	54;1079	True;True	54;1130	78;1731	142;3230	142;3230			-1
SO_1512	SO_1512	1	1	1	SO_1512	1	1	1	1	1	1	1	3.3	3.3	3.3	24.59	215	215	0.0053191	5.5993	3.3	609460	609460	1				265	614	True	645	1015	1858	1858			-1
SO_1518	SO_1518	1	1	1	SO_1518	1	1	1	1	1	1	1	5.8	5.8	5.8	20.071	189	189	0	9.0389	5.8	1402600	1402600	5				266	1148	True	1203	1820;1821	3363;3364;3365;3366;3367	3364			-1
SO_1519	SO_1519	2	2	2	SO_1519	1	2	2	2	2	2	2	5.6	5.6	5.6	51.432	464	464	0	17.552	5.6	6494300	6494300	6				267	722;854	True;True	757;895;896	1162;1163;1380;1381;1382;1383	2133;2134;2619;2620;2621;2622	2134;2622	24	153	-1
SO_1521	SO_1521	1	1	1	SO_1521	1	1	1	1	1	1	1	1.4	1.4	1.4	102.16	934	934	0	10.302	1.4	1469700	1469700	7				268	526	True	552	878;879	1615;1616;1617;1618;1619;1620;1621	1617			-1
SO_1522	SO_1522	1	1	1	SO_1522	1	1	1	1	1	1	1	1.3	1.3	1.3	57.35	547	547	0.001368	5.7646	1.3	0	0	1				269	536	True	563	899	1665	1665			-1
SO_1531	SO_1531	1	1	1	SO_1531	1	1	1	1	1	1	1	1.7	1.7	1.7	54.985	484	484	0.0013717	5.7743	1.7	911890	911890	1				270	968	True	1011	1547	2914	2914			-1
SO_1533	SO_1533	1	1	1	SO_1533	1	1	1	1	1	1	1	3	3	3	33.909	303	303	0	7.8504	3	4048800	4048800	3				271	1030	True	1077	1661;1662	3113;3114;3115	3114			-1
SO_1536	SO_1536	1	1	1	SO_1536	1	1	1	1	1	1	1	1.9	1.9	1.9	40.922	361	361	0	6.157	1.9	2024700	2024700	1				272	515	True	541	853	1573	1573			-1
SO_1539	SO_1539	2	2	2	SO_1539	1	2	2	2	2	2	2	2.3	2.3	2.3	105.49	938	938	0	14.869	2.3	1580600	1580600	3				273	992;1069	True;True	1036;1119	1577;1718	2979;3205;3206	2979;3206			-1
SO_1550	SO_1550	2	2	2	SO_1550	1	2	2	2	2	2	2	5.3	5.3	5.3	50.238	451	451	0	54.036	5.3	5341000	5341000	5				274	492;620	True;True	518;651	827;828;1022;1023	1536;1537;1538;1870;1871	1538;1871			-1
SO_1551	SO_1551	3	3	3	SO_1551	1	3	3	3	3	3	3	4.8	4.8	4.8	59.868	518	518	0	19.377	4.8	1807500	1807500	5				275	887;934;1273	True;True;True	930;977;1331	1422;1497;2014	2693;2843;2844;2845;3711	2693;2844;3711			-1
SO_1556	SO_1556	2	2	2	SO_1556	1	2	2	2	2	2	2	7.9	7.9	7.9	33.649	304	304	0	20.389	7.9	15058000	15058000	4				276	176;495	True;True	181;521	250;251;831	400;401;402;1543	402;1543			-1
SO_1558	SO_1558	1	1	1	SO_1558	1	1	1	1	1	1	1	4.8	4.8	4.8	26.154	229	229	0	6.4993	4.8	379680	379680	3				277	740	True	775	1186;1187	2166;2167;2168	2166			-1
SO_1571	SO_1571	3	3	3	SO_1571	1	3	3	3	3	3	3	3.7	3.7	3.7	117.71	1041	1041	0	20.453	3.7	7053500	7053500	3				278	287;347;962	True;True;True	301;364;1005	418;540;541;1541	757;1025;1026;2903	757;1026;2903			-1
SO_1576	SO_1576	2	2	2	SO_1576	1	2	2	2	2	2	2	18.5	18.5	18.5	25.492	222	222	0	23.623	18.5	5428800	5428800	10				279	425;1256	True;True	445;1313	710;711;1990;1991	1337;1338;1339;1340;3673;3674;3675;3676;3677;3678	1340;3677			-1
SO_1581	SO_1581	1	1	1	SO_1581	1	1	1	1	1	1	1	4.3	4.3	4.3	20.482	187	187	0	6.5269	4.3	1051000	1051000	1				280	339	True	355	520	995	995			-1
SO_1607	SO_1607	1	1	1	SO_1607	1	1	1	1	1	1	1	3.5	3.5	3.5	36.082	314	314	0	6.4205	3.5	693710	693710	1				281	1389	True	1450	2195	4019	4019			-1
SO_1610	SO_1610	1	1	1	SO_1610	1	1	1	1	1	1	1	2.7	2.7	2.7	29.644	257	257	0	6.0093	2.7	725570	725570	1				282	1370	True	1431	2171;2172	3983;3984	3983			-1
SO_1611	SO_1611	1	1	1	SO_1611	1	1	1	1	1	1	1	14.2	14.2	14.2	13.875	127	127	0	9.3625	14.2	263270	263270	1				283	701	True	736	1137	2102	2102			-1
SO_1625	SO_1625	3	3	3	SO_1625	1	3	3	3	3	3	3	9.9	9.9	9.9	29.873	274	274	0	22.231	9.9	30648000	30648000	10				284	405;504;533	True;True;True	425;530;560	639;640;840;841;895	1238;1239;1240;1241;1555;1556;1557;1558;1655;1656;1657	1238;1556;1656			-1
SO_1627	SO_1627	1	1	1	SO_1627	1	1	1	1	1	1	1	5.3	5.3	5.3	29.453	265	265	0	8.4103	5.3	0	0	1				285	674	True	709	1107	2065	2065			-1
SO_1629	SO_1629	6	6	6	SO_1629	1	6	6	6	6	6	6	26.9	26.9	26.9	26.569	242	242	0	49.942	26.9	156330000	156330000	45				286	140;297;840;902;1281;1345	True;True;True;True;True;True	144;312;879;880;945;1340;1404;1405	194;195;433;434;1337;1338;1339;1340;1341;1342;1343;1452;1453;2023;2024;2125;2126	310;311;790;791;2408;2409;2410;2411;2412;2413;2414;2415;2416;2417;2418;2419;2420;2421;2422;2423;2424;2425;2426;2427;2428;2429;2430;2431;2432;2433;2434;2762;2763;2764;2765;2766;2767;2768;2769;3722;3723;3724;3725;3911;3912	311;791;2409;2765;3725;3912	25;26	27;100	-1
SO_1630	SO_1630	2	2	2	SO_1630	1	2	2	2	2	2	2	10.2	10.2	10.2	30.414	283	283	0	38.529	10.2	2419300	2419300	2				287	132;639	True;True	136;672	181;1050	291;1936	291;1936			-1
SO_1631	SO_1631	2	2	2	SO_1631	1	2	2	2	2	2	2	11.6	11.6	11.6	26.252	242	242	0	15.944	11.6	6780700	6780700	4				288	1152;1320	True;True	1207;1379	1826;2089	3373;3374;3838;3839	3374;3838			-1
SO_1633	SO_1633	1	1	1	SO_1633	1	1	1	1	1	1	1	3.3	3.3	3.3	30.834	275	275	0.007772	5.4789	3.3	1281000	1281000	0				289	1338	True	1397	2107	3863	3863			-1
SO_1638	SO_1638	1	1	1	SO_1638	1	1	1	1	1	1	1	7.1	7.1	7.1	18.992	168	168	0	8.5503	7.1	232310	232310	1				290	586	True	614	963	1777	1777			-1
SO_1639	SO_1639	1	1	1	SO_1639	1	1	1	1	1	1	1	3.8	3.8	3.8	35.769	341	341	0	8.5822	3.8	7214100	7214100	2				291	327	True	343	502;503	962;963	963			-1
SO_1651	SO_1651	2	2	2	SO_1651	1	2	2	2	2	2	2	1.9	1.9	1.9	123.1	1096	1096	0	10.78	1.9	648670	648670	1				292	194;400	True;True	201;420	288;633	521;1231	521;1231			-1
SO_1664	SO_1664	2	2	2	SO_1664	1	2	2	2	2	2	2	12.5	12.5	12.5	36.442	337	337	0	19.151	12.5	2007000	2007000	1				293	686;1245	True;True	721;1302	1121;1967	2082;3639	2082;3639			-1
SO_1665	SO_1665	1	1	1	SO_1665	1	1	1	1	1	1	1	4.3	4.3	4.3	32.87	302	302	0	8.4574	4.3	2619800	2619800	2				294	1396	True	1457	2202	4027;4028	4028			-1
SO_1667	SO_1667	2	2	2	SO_1667	1	2	2	2	2	2	2	20.5	20.5	20.5	12.879	112	112	0	26.41	20.5	9431400	9431400	6				295	304;1317	True;True	319;1376	454;2085;2086	819;820;821;3833;3834;3835	820;3835			-1
SO_1669	SO_1669	2	2	2	SO_1669	1	2	2	2	2	2	2	4.5	4.5	4.5	57.733	512	512	0	13.73	4.5	2467000	2467000	3				296	160;1035	True;True	164;1082	228;1667;1668	360;3121;3122	360;3121			-1
SO_1670	SO_1670	1	1	1	SO_1670	1	1	1	1	1	1	1	2.7	2.7	2.7	36.018	328	328	0	8.4303	2.7	736560	736560	1				297	685	True	720	1120	2081	2081			-1
SO_1676	SO_1676	2	2	2	SO_1676	1	2	2	2	2	2	2	8.3	8.3	8.3	36.569	313	313	0	20.432	8.3	4401400	4401400	3				298	1106;1284	True;True	1160;1343	1770;2028	3287;3288;3729	3288;3729			-1
SO_1677	SO_1677	1	1	1	SO_1677	1	1	1	1	1	1	1	2.5	2.5	2.5	40.673	396	396	0	7.3016	2.5	966950	966950	2				299	745	True	780	1194;1195	2178;2179	2179			-1
SO_1678	SO_1678	1	1	1	SO_1678	1	1	1	1	1	1	1	1.8	1.8	1.8	53.735	499	499	0	7.9129	1.8	2304400	2304400	3				300	1083	True	1135	1736	3235;3236;3237	3236			-1
SO_1681	SO_1681	1	1	1	SO_1681	1	1	1	1	1	1	1	5.5	5.5	5.5	41.717	383	383	0	10.118	5.5	587180	587180	2				301	2	True	2	2	2;3	2			-1
SO_1682	SO_1682	2	2	2	SO_1682	1	2	2	2	2	2	2	9.7	9.7	9.7	30.819	300	300	0	15.739	9.7	5558100	5558100	2				302	1131;1153	True;True	1185;1208	1798;1827	3331;3375	3331;3375	27	12	-1
SO_1698	SO_1698	1	1	1	SO_1698	1	1	1	1	1	1	1	9.6	9.6	9.6	13.448	125	125	0	6.4059	9.6	231740	231740	0				303	825	True	863	1318	2375	2375			-1
SO_1742	SO_1742	1	1	1	SO_1742	1	1	1	1	1	1	1	4.9	4.9	4.9	37.83	349	349	0	9.3276	4.9	408910	408910	1				304	228	True	236	325	594	594			-1
SO_1745	SO_1745	1	1	1	SO_1745	1	1	1	1	1	1	1	2.3	2.3	2.3	41.885	387	387	0	6.2484	2.3	299280	299280	1				305	208	True	215	303	541	541			-1
SO_1748	SO_1748	1	1	1	SO_1748	1	1	1	1	1	1	1	4.5	4.5	4.5	56.645	509	509	0	6.9557	4.5	220270	220270	1				306	1183	True	1240	1878	3467	3467			-1
SO_1769	SO_1769	1	1	1	SO_1769	1	1	1	1	1	1	1	1.8	1.8	1.8	61.039	549	549	0	8.1425	1.8	579220	579220	1				307	1364	True	1425	2164	3975	3975			-1
SO_1778	SO_1778	1	1	1	SO_1778	1	1	1	1	1	1	1	3.9	3.9	3.9	71.236	671	671	0	7.3072	3.9	373500	373500	3				308	687	True	722	1122	2083;2084;2085	2085			-1
SO_1779	SO_1779	2	2	2	SO_1779	1	2	2	2	2	2	2	4.1	4.1	4.1	78.616	735	735	0	25.771	4.1	4946100	4946100	6				309	47;1147	True;True	47;1202	65;66;1819	119;120;121;3360;3361;3362	121;3360			-1
SO_1786	SO_1786	3	3	3	SO_1786	1	3	3	3	3	3	3	7.4	7.4	7.4	64.103	556	556	0	28.218	7.4	7277500	7277500	7				310	338;855;1386	True;True;True	354;897;1447	516;517;518;519;1384;2191	991;992;993;994;2623;4008;4009	991;2623;4008			-1
SO_1790	SO_1790	1	1	1	SO_1790	1	1	1	1	1	1	1	7.3	7.3	7.3	18.054	164	164	0	6.4903	7.3	177750	177750	1				311	833	True	871	1327	2385	2385			-1
SO_1791	SO_1791	2	2	2	SO_1791	1	2	2	2	2	2	2	4.6	4.6	4.6	52.138	459	459	0	13.072	4.6	16425000	16425000	5				312	947;1362	True;True	990;1422	1521;1522;2160;2161	2883;2884;3970;3971;3972	2884;3972			-1
SO_1792	SO_1792	2	2	2	SO_1792	1	2	2	2	2	2	2	9.2	9.2	9.2	30.502	284	284	0	18.334	9.2	2945300	2945300	9				313	469;684	True;True	494;719	786;787;788;1119	1449;1450;1451;1452;1453;1454;1455;1456;1457;2080	1454;2080			-1
SO_1793	SO_1793	2	2	2	SO_1793	1	2	2	2	2	2	2	4.4	4.4	4.4	47.596	434	434	0	14.378	4.4	12587000	12587000	11				314	461;611	True;True	486;642	773;1009;1010;1011;1012	1429;1430;1846;1847;1848;1849;1850;1851;1852;1853;1854	1429;1849			-1
SO_1795	SO_1795	1	1	1	SO_1795	1	1	1	1	1	1	1	3.1	3.1	3.1	46.506	426	426	0	6.7717	3.1	581550	581550	4				315	990	True	1034	1575	2974;2975;2976;2977	2976			-1
SO_1796	SO_1796	1	1	1	SO_1796	1	1	1	1	1	1	1	1.3	1.3	1.3	87.522	785	785	0	6.8764	1.3	1923300	1923300	2				316	1073	True	1123;1124	1723;1724	3219;3220	3219	28	402	-1
